timestamp,icu_unit,beds_total,beds_occupied,beds_available,ventilators_total,ventilators_in_use,nursing_staff_present,nursing_staff_required,critical_patients,stable_patients,utilization_rate
2024-05-04 23:00:00,ICU-General,8,6,2,6,3,2,3,3,3,0.75
2024-05-04 23:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-04 23:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-04 23:00:00,ICU-Neonatal,3,2,1,2,1,1,1,0,2,0.6667
2024-05-04 23:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-05 01:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-05 01:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-05 01:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-05 01:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-05 01:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-05 03:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-05 03:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-05 03:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-05 03:00:00,ICU-Neonatal,3,2,1,2,1,1,1,1,1,0.6667
2024-05-05 03:00:00,ICU-Trauma,6,5,1,5,3,1,2,3,2,0.8333
2024-05-05 05:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-05 05:00:00,ICU-Cardiac,5,4,1,4,2,2,2,1,3,0.8
2024-05-05 05:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-05 05:00:00,ICU-Neonatal,3,3,0,2,2,1,1,1,2,1.0
2024-05-05 05:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-05 07:00:00,ICU-General,8,7,1,6,4,3,3,3,4,0.875
2024-05-05 07:00:00,ICU-Cardiac,5,4,1,4,3,2,2,2,2,0.8
2024-05-05 07:00:00,ICU-Pediatric,4,3,1,3,2,1,1,1,2,0.75
2024-05-05 07:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-05 07:00:00,ICU-Trauma,6,5,1,5,3,2,2,2,3,0.8333
2024-05-05 09:00:00,ICU-General,8,7,1,6,4,3,3,4,3,0.875
2024-05-05 09:00:00,ICU-Cardiac,5,4,1,4,2,1,2,2,2,0.8
2024-05-05 09:00:00,ICU-Pediatric,4,4,0,3,2,1,2,2,2,1.0
2024-05-05 09:00:00,ICU-Neonatal,3,3,0,2,1,1,1,2,1,1.0
2024-05-05 09:00:00,ICU-Trauma,6,5,1,5,3,1,2,2,3,0.8333
2024-05-05 11:00:00,ICU-General,8,7,1,6,4,2,3,3,4,0.875
2024-05-05 11:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-05 11:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-05 11:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-05 11:00:00,ICU-Trauma,6,6,0,5,4,2,3,3,3,1.0
2024-05-05 13:00:00,ICU-General,8,7,1,6,3,2,3,3,4,0.875
2024-05-05 13:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-05 13:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-05 13:00:00,ICU-Neonatal,3,3,0,2,1,1,1,1,2,1.0
2024-05-05 13:00:00,ICU-Trauma,6,6,0,5,3,2,3,2,4,1.0
2024-05-05 15:00:00,ICU-General,8,7,1,6,4,3,3,4,3,0.875
2024-05-05 15:00:00,ICU-Cardiac,5,4,1,4,3,1,2,2,2,0.8
2024-05-05 15:00:00,ICU-Pediatric,4,4,0,3,2,1,2,1,3,1.0
2024-05-05 15:00:00,ICU-Neonatal,3,3,0,2,1,1,1,2,1,1.0
2024-05-05 15:00:00,ICU-Trauma,6,6,0,5,3,2,3,3,3,1.0
2024-05-05 17:00:00,ICU-General,8,7,1,6,4,2,3,4,3,0.875
